k Value,Average,StdDev,25th Percentile,75th Percentile
1,0.936363636363636,0.0552978411845293,0.902272727272727,0.977272727272727
2,0.936363636363636,0.0552978411845293,0.902272727272727,0.977272727272727
3,0.909090909090909,0.0909090909090909,0.840909090909091,0.977272727272727
4,0.932659932659933,0.0591865179503264,0.893939393939394,0.977272727272727
5,0.880808080808081,0.0710238215403917,0.827272727272727,0.927272727272727
10,0.96969696969697,0.0524863881081478,0.931818181818182,1
15,0.96969696969697,0.0524863881081478,0.931818181818182,1
20,0.96969696969697,0.0524863881081478,0.931818181818182,1
30,0.96969696969697,0.0524863881081478,0.931818181818182,1
40,0.96969696969697,0.0524863881081478,0.931818181818182,1
50,0.96969696969697,0.0524863881081478,0.931818181818182,1
