k Value,Average,StdDev,25th Percentile,75th Percentile
1,0.96078431372549,0.0679235610811325,0.911764705882353,1
2,0.941176470588235,0.101885341621699,0.867647058823529,1
3,0.941176470588235,0.101885341621699,0.867647058823529,1
4,0.904139433551198,0.0892182798668552,0.839869281045752,0.972222222222222
5,0.904139433551198,0.0892182798668552,0.839869281045752,0.972222222222222
6,0.904139433551198,0.0892182798668552,0.839869281045752,0.972222222222222
7,0.904139433551198,0.0892182798668552,0.839869281045752,0.972222222222222
8,0.884531590413943,0.117707561300567,0.795751633986928,0.972222222222222
9,0.980392156862745,0.0339617805405662,0.955882352941176,1
10,0.96078431372549,0.0679235610811325,0.911764705882353,1
11,0.96078431372549,0.0679235610811325,0.911764705882353,1
13,0.980392156862745,0.0339617805405662,0.955882352941176,1
15,0.980392156862745,0.0339617805405662,0.955882352941176,1
17,0.980392156862745,0.0339617805405662,0.955882352941176,1
19,0.980392156862745,0.0339617805405662,0.955882352941176,1
21,0.980392156862745,0.0339617805405662,0.955882352941176,1
30,0.980392156862745,0.0339617805405662,0.955882352941176,1
40,0.96078431372549,0.0679235610811325,0.911764705882353,1
50,0.96078431372549,0.0679235610811325,0.911764705882353,1
